input,result3,result2,result1
"[5, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 12, 18]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 3, 15]","[17, 15, 1]","[17, 15, 1]"
"[0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 5]","[1, 7, 15]","[1, 7, 15]"
"[0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[1, 15, 17]","[1, 15, 17]"
"[0, 5, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 5]","[0, 15, 13]","[0, 15, 13]"
"[0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 6, 7]","[15, 0, 13]","[15, 0, 13]"
"[0, 0, 0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 18, 0]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 5, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[1, 15, 17]","[1, 15, 17]"
"[5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 18, 4]","[1, 15, 18]","[1, 15, 18]"
"[5, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 15]","[17, 13, 15]","[17, 13, 15]"
"[0, 0, 0, 5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 5]","[17, 1, 7]","[17, 1, 7]"
"[0, 0, 0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 1, 0]","[7, 17, 1]","[7, 17, 1]"
"[0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[15, 17, 13]","[15, 17, 13]"
